DATE,Unemployment Rate,Natural Rate of Unemployment
1948-03-31,0.034,
1948-06-30,0.039,
1948-09-30,0.036000000000000004,
1948-12-31,0.037000000000000005,
1949-03-31,0.043,0.05255
1949-06-30,0.053,0.052610000000000004
1949-09-30,0.067,0.05268
1949-12-31,0.079,0.05274
1950-03-31,0.065,0.05281
1950-06-30,0.057999999999999996,0.05287000000000001
1950-09-30,0.05,0.052939999999999994
1950-12-31,0.042,0.05301
1951-03-31,0.037000000000000005,0.053079999999999995
1951-06-30,0.031,0.05314
1951-09-30,0.031,0.05321000000000001
1951-12-31,0.035,0.05327000000000001
1952-03-31,0.032,0.053329999999999995
1952-06-30,0.028999999999999998,0.05338999999999999
1952-09-30,0.032,0.053439999999999994
1952-12-31,0.03,0.0535
1953-03-31,0.028999999999999998,0.053540000000000004
1953-06-30,0.027000000000000003,0.05359
1953-09-30,0.026000000000000002,0.05362
1953-12-31,0.031,0.053660000000000006
1954-03-31,0.049,0.053689999999999995
1954-06-30,0.059000000000000004,0.05372999999999999
1954-09-30,0.057999999999999996,0.05375
1954-12-31,0.057,0.053779999999999994
1955-03-31,0.049,0.053810000000000004
1955-06-30,0.047,0.05382999999999999
1955-09-30,0.04,0.05386
1955-12-31,0.043,0.05388
1956-03-31,0.04,0.053899999999999997
1956-06-30,0.04,0.05393
1956-09-30,0.044000000000000004,0.05395
1956-12-31,0.039,0.05398
1957-03-31,0.042,0.054009999999999996
1957-06-30,0.039,0.05404
1957-09-30,0.042,0.05407
1957-12-31,0.045,0.0541
1958-03-31,0.057999999999999996,0.054139999999999994
1958-06-30,0.07400000000000001,0.05417999999999999
1958-09-30,0.075,0.054220000000000004
1958-12-31,0.067,0.054270000000000006
1959-03-31,0.06,0.05432000000000001
1959-06-30,0.052000000000000005,0.05438
1959-09-30,0.051,0.05443
1959-12-31,0.057,0.0545
1960-03-31,0.052000000000000005,0.054560000000000004
1960-06-30,0.052000000000000005,0.05462999999999999
1960-09-30,0.055,0.054689999999999996
1960-12-31,0.061,0.05476
1961-03-31,0.066,0.05483
