0,1,2
B00001_001E,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,Estimate!!Total
B00002_001E,UNWEIGHTED SAMPLE HOUSING UNITS,Estimate!!Total
B01001A_001E,SEX BY AGE (WHITE ALONE),Estimate!!Total
B01001B_001E,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B01001C_001E,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B01001D_001E,SEX BY AGE (ASIAN ALONE),Estimate!!Total
B01001E_001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Total
B01001F_001E,SEX BY AGE (SOME OTHER RACE ALONE),Estimate!!Total
B01001G_001E,SEX BY AGE (TWO OR MORE RACES),Estimate!!Total
B01001H_001E,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Total
B01001I_001E,SEX BY AGE (HISPANIC OR LATINO),Estimate!!Total
B01001_001E,SEX BY AGE,Estimate!!Total
B01002A_001E,MEDIAN AGE BY SEX (WHITE ALONE),Estimate!!Median age!!Total
B01002B_001E,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Median age!!Total
B01002C_001E,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),Estimate!!Median age!!Total
B01002D_001E,MEDIAN AGE BY SEX (ASIAN ALONE),Estimate!!Median age!!Total
B01002E_001E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Estimate!!Median age!!Total
B01002F_001E,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),Estimate!!Median age!!Total
B01002G_001E,MEDIAN AGE BY SEX (TWO OR MORE RACES),Estimate!!Median age!!Total
B01002H_001E,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)",Estimate!!Median age!!Total
B01002I_001E,MEDIAN AGE BY SEX (HISPANIC OR LATINO),Estimate!!Median age!!Total
B01002_001E,MEDIAN AGE BY SEX,Estimate!!Median age!!Total
B01003_001E,TOTAL POPULATION,Estimate!!Total
B02001_001E,RACE,Estimate!!Total
B02008_001E,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Estimate!!Total
B02009_001E,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Estimate!!Total
B02010_001E,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Estimate!!Total
B02011_001E,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Estimate!!Total
B02012_001E,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Estimate!!Total
B02013_001E,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Estimate!!Total
B02014_001E,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,Estimate!!Total
B02015_001E,ASIAN ALONE BY SELECTED GROUPS,Estimate!!Total
B02016_001E,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Estimate!!Total
B02017_001E,AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,Estimate!!Total Groups Tallied
B02018_001E,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Estimate!!Total Groups Tallied
B02019_001E,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Estimate!!Total Groups Tallied
B03001_001E,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Estimate!!Total
B03002_001E,HISPANIC OR LATINO ORIGIN BY RACE,Estimate!!Total
B03003_001E,HISPANIC OR LATINO ORIGIN,Estimate!!Total
B04004_001E,PEOPLE REPORTING SINGLE ANCESTRY,Estimate!!Total
B04005_001E,PEOPLE REPORTING MULTIPLE ANCESTRY,Estimate!!Total
B04006_001E,PEOPLE REPORTING ANCESTRY,Estimate!!Total
B04007_001E,ANCESTRY,Estimate!!Total
B05001PR_001E,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Estimate!!Total
B05001_001E,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Estimate!!Total
B05002_001E,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,Estimate!!Total
B05003A_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE),Estimate!!Total
B05003B_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE),Estimate!!Total
B05003C_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Estimate!!Total
B05003D_001E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (ASIAN ALONE),Estimate!!Total
