,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
2017 Score,100.25804263565892,-4.576264449884402,105.97356453148373,-33.192288181694565,105702.47589011281,147.46535427716574,135.6605327757378,1947.9646005031946,1.4071365429076568,137202.77829797356,14.790065619475039,-27.208182374541018,152.25607269141844,-8.005878552971572,-44.45319359445126,158.2558649530804,161.80921086631307,73.29324187406507,55.136381068951465,-117.85178804569564,169.0176733986127,-12.983134434924528,-95.77463280293755,-28.03173398612812,-4.120532775737788,38.00901536787705,75.35813103495174,-12.086353189174485,-503.2575003399972
5 Year GDP Growth Rate (%),-4.576264449884402,6.346632326941378,-10.61763769889841,1.5397273221814225,-4713.895709234328,-11.283727730178162,4.470668774649802,94.88933870529034,4.462775057799536,-14245.613120495036,-11.224293145654824,24.430061879504958,-13.04386202910377,-5.370690194478448,-1.4665459676322592,-20.296562627498975,-13.744820141438867,-2.201188970488236,-2.7156425948592418,62.28119985040124,-14.062117163062686,-29.483203794369672,0.35608935128519,1.0470488236094113,9.065120699034408,-10.717654018767847,-4.860612335101322,-3.1522990616075077,27.866530667754652
Business Freedom,105.97356453148373,-10.61763769889841,207.6765891472868,-42.919321365429084,121391.29275125804,151.08350333197325,55.43660954712365,3044.2022766217865,-3.616447708418333,166490.70583435337,58.50225758193934,-115.47777369781039,198.15073983408126,-2.8305943152454724,-35.463042295661644,136.99061607507147,207.67104039167694,95.09691826465388,48.753614851081174,-192.24568883448944,219.83445940432483,91.51938936488511,-88.94011967904258,-30.223892288861688,-16.211404868761047,70.5541017271862,82.13669794641648,-1.9463144294845627,-531.631157350741
Corporate Tax Rate (%),-33.192288181694565,1.5397273221814225,-42.919321365429084,81.59872297021619,8285.973896368832,-46.95750033999726,-36.29968924248606,1566.7301788385696,-1.13420780633755,-68706.76568067455,-25.57177410580713,34.76762817897457,-52.03641574867403,67.00703522371822,13.599396844825238,-22.08136134910922,-47.37823541411667,-24.265258397932815,-12.65856793145655,178.92635862913093,-60.939622603019146,15.209007887936883,22.223589011287906,12.030261117911046,-56.76849789201686,-11.65293077655378,-30.18987012103904,1.515544675642597,171.80364477084177
FDI Inflow (Millions),105702.47589011281,-4713.895709234328,121391.29275125804,8285.973896368832,1281195751.40797,167025.89868081053,25892.208663130692,57968860.45839657,3076.464413164694,231938134.95898268,16442.34711274309,-39610.89781177751,229715.52326941385,57601.577077383394,-22562.771996464035,138618.2185502516,234479.1455405957,123168.17104175169,32008.638765129854,1996092.498732489,220801.8510839114,123176.18405548755,-93428.3360397117,-32930.385809873515,-58678.06632394942,35895.91905480756,74889.59387188901,-31534.58543043656,-463941.82437100494
Financial Freedom,147.46535427716574,-11.283727730178162,151.08350333197325,-46.95750033999726,167025.89868081053,355.72895416836667,52.00050999591997,1474.4195226438185,0.7794777641778871,231632.45104039164,59.51179790561676,-126.17537059703527,236.87246702026383,9.360465116279071,-61.71103631170951,333.250033999728,238.53634570923433,74.52124983000135,95.04270365837073,-311.2356521147832,270.09917720658245,66.50785393716846,-134.67938256493943,-44.81925744594043,-36.19349245206039,83.94750441996473,124.88015095879236,-8.594519243846046,-753.6869305045562
Fiscal Health,135.6605327757378,4.470668774649802,55.43660954712365,-36.29968924248606,25892.208663130692,52.00050999591997,869.0227672378621,-1836.7874830001354,-1.2622963416292685,130051.81209370324,-47.29031789745681,93.97624031007756,106.4753627770978,-48.51619815041481,-48.50870291037671,49.19187746498025,98.44565041479667,43.27439514483886,39.86558139534882,-281.77129164966686,113.17359751121994,-523.1736009111926,-129.05383856929146,-39.18150142798861,19.16939650482797,25.567217462260302,87.1613950088399,-30.912071943424458,-688.4572147422822
"GDP (Billions, PPP)",1947.9646005031946,94.88933870529034,3044.2022766217865,1566.7301788385696,57968860.45839657,1474.4195226438185,-1836.7874830001354,4765896.374144906,368.7425030599756,6494385.421613628,1314.5247548619604,-2088.347434380524,7542.985373657014,4778.9441500068015,-428.00944682442554,-1627.2832347341218,9391.616908404727,2817.3851771385816,-366.99575003399997,253228.86527845773,7047.5478039575655,10819.000568815452,-1691.8583673330613,-1317.3569577043388,-3876.226493608049,1354.9679967360266,1899.2767506459934,-1952.775421596626,-10063.193268053854
GDP Growth Rate (%),1.4071365429076568,4.462775057799536,-3.616447708418333,-1.13420780633755,3076.464413164694,0.7794777641778871,-1.2622963416292685,368.7425030599756,15.101663266693864,-18811.920896232838,-6.744763361893101,12.47998232014144,0.7083047735618121,3.8751094791241685,-10.5296919624643,-4.995886032911735,-0.09313409492724012,6.133948728410175,6.534335645314839,77.61817013463896,-1.7505813953488347,-0.9418081055351551,-4.145933632530941,0.03136950904392761,3.0725302597579254,-6.228339453284372,-0.8545702434380547,1.13170950632395,-3.0595267237862087
GDP per Capita (PPP),137202.77829797356,-14245.613120495036,166490.70583435337,-68706.76568067455,231938134.95898268,231632.45104039164,130051.81209370324,6494385.421613628,-18811.920896232838,468608477.937542,82833.92598599209,-160077.08813409493,269244.68555351545,-25046.845620835036,-31032.08899428805,201442.05783353726,285568.10606895154,84499.74259825921,55226.46172990617,-167711.60111859112,294330.975135999,-2246.094400244836,-121873.5902692778,-44510.65633074936,-27265.851859785133,70660.03425812595,114761.66733646127,-35410.66758465933,-702216.5623555013
Gov't Expenditure % of GDP ,14.790065619475039,-11.224293145654824,58.50225758193934,-25.57177410580713,16442.34711274309,59.51179790561676,-47.29031789745681,1314.5247548619604,-6.744763361893101,82833.92598599209,117.6506089351286,-228.49667006663947,83.97257547939616,12.462093703250378,-2.575442336461303,61.609428124575,79.42639908880726,17.283645110839114,16.158858969128254,-129.8920770433837,84.29854991160073,94.03384706922341,14.699466204270363,-15.303364613083096,-44.01652420780635,80.74057799537604,36.34131408948727,23.19715286277708,-97.48173534611723
Gov't Spending,-27.208182374541018,24.430061879504958,-115.47777369781039,34.76762817897457,-39610.89781177751,-126.17537059703527,93.97624031007756,-2088.347434380524,12.47998232014144,-160077.08813409493,-228.49667006663947,481.7233115735075,-171.06407248741993,-57.24645994832047,6.615689514483888,-131.29059567523473,-165.46879436964497,-19.820864273085817,-38.32483476132192,288.03356657146736,-179.08410512715898,-235.69236706106375,-43.629790561675506,31.0381857745138,120.09194682442539,-172.38255813953484,-75.24080035359718,-43.26343805249557,178.5833265333878
Government Integrity,152.25607269141844,-13.04386202910377,198.15073983408126,-52.03641574867403,229715.52326941385,236.87246702026383,106.4753627770978,7542.985373657014,0.7083047735618121,269244.68555351545,83.97257547939616,-171.06407248741993,344.124499864001,39.49221202230381,-53.742994356045145,246.26365089079283,315.9782554739562,98.03995002039981,81.61844281245749,-28.555508295933656,316.8317975656194,102.11503705970352,-128.53774309805527,-45.81496396028829,-65.05132768937848,102.40998368013058,118.55623861009107,-12.87751733986128,-760.196749626003
Income Tax Rate (%),-8.005878552971572,-5.370690194478448,-2.8305943152454724,67.00703522371822,57601.577077383394,9.360465116279071,-48.51619815041481,4778.9441500068015,3.8751094791241685,-25046.845620835036,12.462093703250378,-57.24645994832047,39.49221202230381,169.2825390996874,-5.436491908064736,55.947062423500604,39.239058207534335,-34.211570107439144,17.02987760097919,223.13850061199517,22.47252209982321,109.37799877600975,12.382571739426083,2.8810363117095075,-133.03567319461447,38.21906840745275,-2.9747212022303833,5.651784305725555,37.66775465796274
Inflation (%),-44.45319359445126,-1.4665459676322592,-35.463042295661644,13.599396844825238,-22562.771996464035,-61.71103631170951,-48.50870291037671,-428.00944682442554,-10.5296919624643,-31032.08899428805,-2.575442336461303,6.615689514483888,-53.742994356045145,-5.436491908064736,112.37656840745271,-87.72550319597443,-56.92503637970898,-31.559921460628313,-75.95792057663537,30.062081123351025,-68.20374371005032,-13.91350435196517,29.82898476812185,6.466823065415475,4.583849109207122,-8.3265741874065,-25.330079219366247,-4.466349109207125,180.49581123351018
