,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
2017 Score,1.0000000000000002,-0.18141777352572602,0.7344194340969566,-0.3669745112000902,0.29492922141273253,0.7808556912581113,0.45959821183157357,0.08911465950116049,0.03616298238242892,0.6329920043403615,0.1361800221314681,-0.12380582759940932,0.8197043050748586,-0.06145303051595624,-0.41879884288979763,0.7006198022293361,0.7854404943275205,0.5162921080195768,0.6133831623598265,-0.07993757040267609,0.8585593138268092,-0.03899122689926458,-0.756834560797149,-0.6183782330420019,-0.03490289041994119,0.35642709418088186,0.7218389251860434,-0.16137551891450713,-0.9745478603302961
5 Year GDP Growth Rate (%),-0.18141777352572602,1.0000000000000002,-0.29245729653392366,0.0676597619635958,-0.05227578405218215,-0.23747687252744368,0.060198441500869164,0.017253350802532777,0.45584892639308905,-0.26121878506085344,-0.410761982484273,0.4418288450764307,-0.279110856896267,-0.1638522272196284,-0.05491438539529685,-0.3571355050663292,-0.26517773113725096,-0.06162782262345398,-0.12007542869853527,0.1679034732270653,-0.28390748193538534,-0.35192487276724715,0.011184005906322025,0.09180347168666857,0.30518947543844466,-0.3994585902790822,-0.18505000640648447,-0.1672852787597708,0.21447849837644486
Business Freedom,0.7344194340969566,-0.29245729653392366,1.0,-0.3296988210105836,0.23533472812872047,0.5558577533218432,0.130493029247673,0.09676257957979507,-0.06457672670754054,0.5336925649784411,0.3742671971596036,-0.3650949280413882,0.7412148819354526,-0.015096552327998456,-0.23213698300162938,0.4213851750641299,0.7004091749076539,0.46544014345254864,0.3768480345591792,-0.09060188163321012,0.7758893560397501,0.19097050660804807,-0.48833067899929294,-0.4632553709871234,-0.09541013546771585,0.45969755854314814,0.5466549156308325,-0.01805598613744979,-0.7153015752672552
Corporate Tax Rate (%),-0.3669745112000902,0.0676597619635958,-0.3296988210105836,1.0,0.025626785562106735,-0.2756155278286826,-0.1363156280420844,0.07944749903827397,-0.03231011917506084,-0.3513603517236457,-0.26098893106686955,0.17536162119729296,-0.31053309886321817,0.5701283530284523,0.14201691785210652,-0.10835934435604258,-0.25492173139939206,-0.18946736054915697,-0.15609755447333515,0.13452624550273556,-0.3431277755445081,0.05062979416154846,0.19466263012940538,0.2941692101397791,-0.5330075408609578,-0.12112594741773437,-0.32054525552395335,0.022429988119243897,0.36877648365185384
FDI Inflow (Millions),0.29492922141273253,-0.05227578405218215,0.23533472812872047,0.025626785562106735,0.9999999999999998,0.24740955290185943,0.024538373699265602,0.7418476421370183,0.022117282225086368,0.29933627160338055,0.042350542483012614,-0.05042061163127843,0.34595913500206643,0.12368600066509583,-0.05946300144196664,0.17167014467621072,0.31839492510148226,0.24270678265473025,0.09961223029709115,0.3787453388163434,0.3137565208174529,0.10348227274939585,-0.2065289515118392,-0.2032136683024548,-0.13903869417282438,0.09416316201394151,0.2006704940992488,-0.11778266114904117,-0.2513207273511659
Financial Freedom,0.7808556912581113,-0.23747687252744368,0.5558577533218432,-0.2756155278286826,0.24740955290185943,1.0000000000000002,0.09352601238291709,0.035808750517588604,0.010634858892243654,0.5673286608442327,0.2909017765112816,-0.30480083303469196,0.6770132662107765,0.038144483540680306,-0.30864933723715277,0.783236286140819,0.6147019813039235,0.278683777007359,0.561322405856608,-0.11207380348509922,0.7283857637249951,0.10603769634743328,-0.5650040748268856,-0.5248907154217188,-0.16275656509217676,0.41791877640552133,0.6350436778585269,-0.060920570541089805,-0.7748254969530722
Fiscal Health,0.45959821183157357,0.060198441500869164,0.130493029247673,-0.1363156280420844,0.024538373699265602,0.09352601238291709,1.0000000000000002,-0.02854112162954874,-0.011018776019055961,0.20379604890523292,-0.1478970687352028,0.14524582489967489,0.19470439489087232,-0.1264925948259149,-0.155226620260901,0.07397075063069944,0.1623119944729531,0.10353962667388523,0.1506384119166013,-0.0649165669611925,0.19526631905193903,-0.5336754217110546,-0.3463900595658932,-0.2935819416107649,0.05515190205756714,0.08143509166513381,0.2835818195275821,-0.14018918780925688,-0.4528286591218135
"GDP (Billions, PPP)",0.08911465950116049,0.017253350802532777,0.09676257957979507,0.07944749903827397,0.7418476421370183,0.035808750517588604,-0.02854112162954874,1.0,0.043464882576998994,0.13742340048331134,0.05551359872430562,-0.043584455417321775,0.18625724351930628,0.1682494198083813,-0.01849452467384373,-0.03304251207327998,0.20909215103406964,0.09102592343136383,-0.01872586728145376,0.7877987554563668,0.164196361178428,0.14902591728312922,-0.06131994788039268,-0.13328921601837818,-0.1505928940612802,0.05827743672914449,0.08344219960807422,-0.11958645284062443,-0.08937911351816409
GDP Growth Rate (%),0.03616298238242892,0.45584892639308905,-0.06457672670754054,-0.03231011917506084,0.022117282225086368,0.010634858892243654,-0.011018776019055961,0.043464882576998994,1.0,-0.2236225945565064,-0.16001372537018052,0.14631968158281464,0.009825394142282746,0.07664176599655229,-0.255602673624545,-0.05698785837427302,-0.0011648391702881963,0.11133171932951999,0.18730192952818617,0.13565174595132243,-0.02291224861000638,-0.0072878091386634385,-0.08441507790656565,0.0017830321423057596,0.06705812547999324,-0.15048859397003217,-0.021091388179274834,0.038933599246788235,-0.015265617864369679
GDP per Capita (PPP),0.6329920043403615,-0.26121878506085344,0.5336925649784411,-0.3513603517236457,0.29933627160338055,0.5673286608442327,0.20379604890523292,0.13742340048331134,-0.2236225945565064,1.0,0.35278172965972326,-0.3369188218506769,0.6704775990383544,-0.088928688193191,-0.13522844630677927,0.4125031634191117,0.6411716176872606,0.27532235831867424,0.28418120567168825,-0.05261776699179313,0.6915581343903924,-0.00312010990363639,-0.4454660443050481,-0.4541745233190258,-0.10682714739663071,0.30648729375740813,0.5084655904809349,-0.21869105773446418,-0.6289824453355674
Gov't Expenditure % of GDP ,0.1361800221314681,-0.410761982484273,0.3742671971596036,-0.26098893106686955,0.042350542483012614,0.2909017765112816,-0.1478970687352028,0.05551359872430562,-0.16001372537018052,0.35278172965972326,1.0000000000000002,-0.9598070908948632,0.4173328653342252,0.08830551760778224,-0.022398392865356647,0.2517864141104114,0.35590774830622446,0.11239045159003413,0.16594600610183727,-0.08133171887629476,0.3952945346869301,0.26069582260912266,0.10722956531572315,-0.31164034584714045,-0.34418052056664006,0.6989376989551572,0.3213463172143447,0.28591673521835725,-0.17426039295525497
Gov't Spending,-0.12380582759940932,0.4418288450764307,-0.3650949280413882,0.17536162119729296,-0.05042061163127843,-0.30480083303469196,0.14524582489967489,-0.043584455417321775,0.14631968158281464,-0.3369188218506769,-0.9598070908948632,0.9999999999999999,-0.4201478821818105,-0.2004673833861479,0.028434028879664598,-0.2651654838303071,-0.36642654690805376,-0.06369640500648023,-0.19450674362458903,0.0891289211173953,-0.4150075570142355,-0.3229190335762502,-0.15728755724020815,0.312364260789984,0.46406913557488233,-0.737459528141803,-0.32879436399458556,-0.26352643004388315,0.15776643199732612
