file,category,token,line_no,section,context_snippet,auto_suggestion,status
orchestrator.agent.md,MANUAL_PLACEHOLDER,STYLE_REFERENCE_PATH,139,Domain Agent Routing,"| Within-section cohesion | `@cohesion-repairer` | Disjointed paragraphs, broken argument flow, orphaned evidence | | | ",N/A — no formal style guide defined for this project,auto_filled
orchestrator.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,142,Domain Agent Routing,| Format conversion | `@format-converter` | Source format → output format `Jupyter notebooks (.ipynb)` | | | References ,N/A — no citation database configured for this project,auto_filled
navigator.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,38,Project Structure,**Primary output directory:** `Textbook/` | **Reference/dependency database:** `{MANUAL:REFERENCE_DB_PATH}` | **Figures ,N/A — no citation database configured for this project,auto_filled
conflict-auditor.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,74,Reference Layer,### Reference Layer | - `{MANUAL:REFERENCE_DB_PATH}` — Reference database,N/A — no citation database configured for this project,auto_filled
cleanup.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,29,Protected Files (Never Remove),| Primary deliverables | `Textbook/*` | Core authored output | | | Reference database | `{MANUAL:REFERENCE_DB_PATH}` | S,N/A — no citation database configured for this project,auto_filled
cleanup.agent.md,MANUAL_PLACEHOLDER,STYLE_REFERENCE_PATH,33,Protected Files (Never Remove),| Project instructions | `copilot-instructions.md` | Project conventions | | | Style references | `{MANUAL:STYLE_REFEREN,N/A — no formal style guide defined for this project,auto_filled
agent-updater.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,52,Change-to-Agent Mapping,"| `Textbook/*` | `@conflict-auditor`, `@primary-producer`, `@style-guardian`, `@navigator` | | | `{MANUAL:REFERENCE_DB_P",N/A — no citation database configured for this project,auto_filled
agent-updater.agent.md,MANUAL_PLACEHOLDER,STYLE_REFERENCE_PATH,53,Change-to-Agent Mapping,"| `{MANUAL:REFERENCE_DB_PATH}` | `@reference-manager`, `@output-compiler` | | | `{MANUAL:STYLE_REFERENCE_PATH}` | `@styl",N/A — no formal style guide defined for this project,auto_filled
primary-producer.agent.md,MANUAL_PLACEHOLDER,REFERENCE_DB_PATH,63,Quality Floors,- All sections from the Component Brief are present and substantively addressed | - All citations map to keys in `{MANUA,N/A — no citation database configured for this project,auto_filled
style-guardian.agent.md,MANUAL_PLACEHOLDER,STYLE_REFERENCE_PATH,23,Style Guardian — LearnPythonStatsEcon,**Style reference:** `{MANUAL:STYLE_REFERENCE_PATH}`,N/A — no formal style guide defined for this project,auto_filled
references/ref-scipy-reference.md,TOOL_METADATA,TOOL_DOCS_URL,18,Official Documentation,{MANUAL:TOOL_DOCS_URL},https://docs.scipy.org/doc/scipy/reference/,auto_filled
