DATE,Balance Sheet: Repos ($ Mil),Balance Sheet: Reverse Repos ($ Mil),Balance Sheet: Repos - Reverse Repos ($ Mil)
2002-01-06,,,
2002-01-13,,,
2002-01-20,,,
2002-01-27,,,
2002-02-03,,,
2002-02-10,,,
2002-02-17,,,
2002-02-24,,,
2002-03-03,,,
2002-03-10,,,
2002-03-17,,,
2002-03-24,,,
2002-03-31,,,
2002-04-07,,,
2002-04-14,,,
2002-04-21,,,
2002-04-28,,,
2002-05-05,,,
2002-05-12,,,
2002-05-19,,,
2002-05-26,,,
2002-06-02,,,
2002-06-09,,,
2002-06-16,,,
2002-06-23,,,
2002-06-30,,,
2002-07-07,,,
2002-07-14,,,
2002-07-21,,,
2002-07-28,,,
2002-08-04,,,
2002-08-11,,,
2002-08-18,,,
2002-08-25,,,
2002-09-01,,,
2002-09-08,,,
2002-09-15,,,
2002-09-22,,,
2002-09-29,,,
2002-10-06,,,
2002-10-13,,,
2002-10-20,,,
2002-10-27,,,
2002-11-03,,,
2002-11-10,,,
2002-11-17,,,
2002-11-24,,,
2002-12-01,,,
2002-12-08,,,
2002-12-15,,,
2002-12-22,30000.0,21905.0,8095.0
2002-12-29,37250.0,20396.0,16854.0
2003-01-05,39500.0,21091.0,18409.0
2003-01-12,33750.0,18709.0,15041.0
2003-01-19,30000.0,17813.0,12187.0
2003-01-26,36750.0,18523.0,18227.0
2003-02-02,20500.0,18466.0,2034.0
2003-02-09,27750.0,17986.0,9764.0
2003-02-16,20746.0,17604.0,3142.0
2003-02-23,34496.0,17850.0,16646.0
2003-03-02,25750.0,17421.0,8329.0
2003-03-09,23250.0,17959.0,5291.0
2003-03-16,18750.0,17912.0,838.0
2003-03-23,27000.0,18430.0,8570.0
2003-03-30,25500.0,18231.0,7269.0
2003-04-06,30500.0,19729.0,10771.0
2003-04-13,21250.0,20291.0,959.0
2003-04-20,38000.0,19801.0,18199.0
2003-04-27,24500.0,19991.0,4509.0
2003-05-04,37501.0,20814.0,16687.0
2003-05-11,22251.0,20667.0,1584.0
2003-05-18,30752.0,21073.0,9679.0
2003-05-25,26251.0,20709.0,5542.0
2003-06-01,32000.0,21857.0,10143.0
2003-06-08,19000.0,21673.0,-2673.0
2003-06-15,32500.0,21211.0,11289.0
2003-06-22,23000.0,22901.0,99.0
2003-06-29,32000.0,21592.0,10408.0
2003-07-06,26000.0,21045.0,4955.0
2003-07-13,29250.0,20254.0,8996.0
2003-07-20,24000.0,20346.0,3654.0
2003-07-27,32000.0,19672.0,12328.0
2003-08-03,26250.0,19316.0,6934.0
