,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
2017 Score,100.22021737075352,-4.573084737695214,105.92685139725289,-33.14069169687267,105813.39500838947,147.46389261670964,135.58554694742892,1952.5124362628244,1.4262991565899004,137166.7019049504,14.785063612480704,-27.190926898584685,152.23741331748647,-7.929028837840823,-44.49242613089771,158.2487633457451,161.83418682662204,73.26600311735187,55.1438058849042,-117.56902594726301,168.97224378610372,-13.008095792024074,-95.78577487545807,-28.020229210449727,-4.170243932473381,37.972275924725615,75.32507204049529,-12.075069091900803,-503.14560457646814
5 Year GDP Growth Rate (%),-4.573084737695214,6.346632326941378,-10.61763769889841,1.5397273221814225,-4713.895709234328,-11.283727730178162,4.477083704100169,94.88933870529034,4.462775057799536,-14245.57311947504,-11.23354426735933,24.418024647967695,-13.046918336624195,-5.370690194478448,-1.4665459676322592,-20.296562627498975,-13.74553973687519,-2.20959890279335,-2.7064780318632224,62.28119985040124,-14.07308621961082,-29.483203794369672,0.35608935128519,1.0470488236094113,9.059695805758087,-10.717991694477444,-4.852271725826196,-3.1522990616075077,27.866530667754652
Business Freedom,105.92685139725289,-10.61763769889841,207.6765891472868,-42.919321365429084,121391.29275125804,151.08350333197325,55.437783971996744,3044.2022766217865,-3.616447708418333,166491.1276893784,58.549444557824614,-115.46693313132381,198.15976924978247,-2.8305943152454724,-35.463042295661644,136.99061607507147,207.69882968132487,95.05928897185501,48.721661158513164,-192.24568883448944,219.85765184872835,91.51938936488511,-88.94011967904258,-30.223892288861688,-16.203756648468843,70.55454560112837,82.10721311029516,-1.9463144294845627,-531.631157350741
Corporate Tax Rate (%),-33.14069169687267,1.5397273221814225,-42.919321365429084,81.59872297021619,8285.973896368832,-46.95750033999726,-36.30236560832271,1566.7301788385696,-1.13420780633755,-68706.86049163605,-25.58648801313053,34.8143787984395,-52.054512642467046,67.00703522371822,13.599396844825238,-22.08136134910922,-47.36566691987658,-24.271106520739973,-12.642471509629987,178.92635862913093,-60.94871425490492,15.209007887936883,22.223589011287906,12.030261117911046,-56.76966137041293,-11.654790049588202,-30.189997280021764,1.515544675642597,171.80364477084177
FDI Inflow (Millions),105813.39500838947,-4713.895709234328,121391.29275125804,8285.973896368832,1281195751.40797,167025.89868081053,25880.275815155634,57968860.45839657,3076.464413164694,231938393.21052226,16475.19637562172,-39569.66456699611,229771.05021390214,57601.577077383394,-22562.771996464035,138618.2185502516,234631.92852544208,123165.53485050757,31882.245439285973,1996092.498732489,220748.05655586664,123176.18405548755,-93428.3360397117,-32930.385809873515,-58692.25929171823,35896.817118241466,74908.16257690743,-31534.58543043656,-463941.82437100494
Financial Freedom,147.46389261670964,-11.283727730178162,151.08350333197325,-46.95750033999726,167025.89868081053,355.72895416836667,52.00343874029055,1474.4195226438185,0.7794777641778871,231632.35281517752,59.54098188946388,-126.16689273688736,236.87472009606898,9.360465116279071,-61.71103631170951,333.250033999728,238.5318264675232,74.5485628632134,94.94204528584102,-311.2356521147832,270.0965692590397,66.50785393716846,-134.67938256493943,-44.81925744594043,-36.187983979171456,83.94620189487921,124.86193390452874,-8.594519243846046,-753.6869305045562
Fiscal Health,135.58554694742892,4.477083704100169,55.437783971996744,-36.30236560832271,25880.275815155634,52.00343874029055,868.9709827085514,-1832.8282870345618,-1.25219247029154,130105.25444597071,-47.31222692402946,93.8715461951163,106.49285556129941,-48.49683425726867,-48.48446916834828,49.200739346361964,98.51263769989968,43.255789948897544,39.895968247796944,-281.5922679656165,113.14350495944235,-523.1510460625234,-129.07511794890343,-39.18120183898099,19.09264759656709,25.576548487278053,87.14866839292792,-30.92251377440854,-688.4894862989908
"GDP (Billions, PPP)",1952.5124362628244,94.88933870529034,3044.2022766217865,1566.7301788385696,57968860.45839657,1474.4195226438185,-1832.8282870345618,4765896.374144906,368.7425030599756,6494451.23844179,1318.526897432933,-2085.953562566118,7543.639800880008,4778.9441500068015,-428.00944682442554,-1627.2832347341218,9395.681497344283,2818.840488364914,-370.87090325143333,253228.86527845773,7047.901810635683,10819.000568815452,-1691.8583673330613,-1317.3569577043388,-3877.030928272335,1355.03149975116,1899.4307545219642,-1952.775421596626,-10063.193268053854
GDP Growth Rate (%),1.4262991565899004,4.462775057799536,-3.616447708418333,-1.13420780633755,3076.464413164694,0.7794777641778871,-1.25219247029154,368.7425030599756,15.101663266693864,-18811.878574051414,-6.761904064812652,12.469856007928497,0.7012443769545723,3.8751094791241685,-10.5296919624643,-4.995886032911735,-0.0933567253596986,6.1327491228134985,6.533775699761503,77.61817013463896,-1.753165562658076,-0.9418081055351551,-4.145933632530941,0.03136950904392761,3.0556616140725827,-6.228815130502169,-0.8461262069903429,1.13170950632395,-3.0595267237862087
GDP per Capita (PPP),137166.7019049504,-14245.57311947504,166491.1276893784,-68706.86049163605,231938393.21052226,231632.35281517752,130105.25444597071,6494451.23844179,-18811.878574051414,468608695.36959195,82896.43853668116,-160072.80878277525,269273.31835400563,-25046.369108527142,-31032.4173517612,201441.53966068276,285588.6946496255,84528.61287454043,55181.25919245973,-167710.13382054938,294348.02052895195,-2246.4911454508506,-121873.60458656334,-44510.73416156671,-27230.9304448542,70663.71449423667,114713.98187624097,-35410.5271365429,-702216.8652522778
