DATE,Real Private Weekly Employee Earnings Annual % Change,Real Private Hourly Nonsupervisory Earnings Annual % Change,$\pi_{Urban}$
2020-01-31,-0.038818316624655846,0.7812001721874573,2.4865719552504606
2020-02-29,0.6483396933587127,0.9630374519039586,2.3348735639459495
2020-03-31,0.7781850694189796,2.1644681674095834,1.5393269919198094
2020-04-30,7.183443198172257,7.490230922998209,0.3290966863368272
2020-05-31,7.475414400467817,6.6632850312633,0.11792637021070806
2020-06-30,4.904721101042542,4.861858266390362,0.6457330475554857
2020-07-31,4.627643054376951,3.7770135773397273,0.9860818253037085
2020-08-31,4.200532992739769,3.592543614790178,1.3096453823307153
2020-09-30,4.580158492241804,3.2277219979937932,1.3713248610564666
2020-10-31,4.512640760388731,3.2390487412755187,1.1820661677274913
2020-11-30,4.8108232861333144,3.488397658813258,1.1745357842679605
2020-12-31,5.261779815931211,4.0774261796241,1.3620054947193205
2021-01-31,5.906164436760042,3.8230976045291465,1.3997697415600863
2021-02-28,4.093615495219471,3.4824399744718404,1.6762152173745104
2021-03-31,4.001726465726407,1.9664035475476238,2.619762508959189
2021-04-30,-1.702616928151246,-2.8869819865659285,4.15969483870211
2021-05-31,-2.6500815875463934,-2.5084124859686696,4.992706537594471
2021-06-30,-1.3072261625753145,-1.4765588422615994,5.391451413321335
2021-07-31,-0.9931560127566352,-0.5142128021177084,5.365475239385398
2021-08-31,-1.4057314020159084,-0.3938310459627892,5.251271554874992
2021-09-30,-0.7724404345201497,0.12911342521537694,5.390348855079163
2021-10-31,-1.5493944125858805,-0.4356038962984643,6.221868903328898
