,2017 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
2017 Score,1.0000000000000002,-0.1813259280238616,0.7342342207828612,-0.36647319743530693,0.29529441548142454,0.7809952920039728,0.45944453493714515,0.08933956653115593,0.036662372368245565,0.6329448269437744,0.1360907652643264,-0.12376437242886423,0.8197262292528534,-0.06087461744179779,-0.4192475514305295,0.7007205585509115,0.7856648100933528,0.5162612195956974,0.6136416050691852,-0.079760823449807,0.8584535218407051,-0.03907356289537565,-0.7570654341363837,-0.6182410741595816,-0.035338724979572474,0.3561494180705663,0.7218773200797692,-0.16125527701228737,-0.9745150258940981
5 Year GDP Growth Rate (%),-0.1813259280238616,1.0000000000000002,-0.29245729653392366,0.0676597619635958,-0.05227578405218215,-0.23747687252744368,0.06028661604572386,0.017253350802532777,0.45584892639308905,-0.2612179909687071,-0.41089254360687755,0.44166009336135975,-0.27916526469976966,-0.1638522272196284,-0.05491438539529685,-0.3571355050663292,-0.26517637515097653,-0.06187090219980395,-0.119681925381238,0.1679034732270653,-0.28411670175011067,-0.35192487276724715,0.011184005906322025,0.09180347168666857,0.3050766951985179,-0.39947078928208113,-0.18478850647017162,-0.1672852787597708,0.21447849837644486
Business Freedom,0.7342342207828612,-0.29245729653392366,1.0,-0.3296988210105836,0.23533472812872047,0.5558577533218432,0.1304996819988047,0.09676257957979507,-0.06457672670754054,0.5336937934358205,0.37437956658759947,-0.3651011169193487,0.7412194763016404,-0.015096552327998456,-0.23213698300162938,0.4213851750641299,0.7004626454529698,0.46531329713796815,0.37663792333166685,-0.09060188163321012,0.775937783303159,0.19097050660804807,-0.48833067899929294,-0.4632553709871234,-0.09538696444168902,0.45970000580223175,0.5466244484993766,-0.01805598613744979,-0.7153015752672552
Corporate Tax Rate (%),-0.36647319743530693,0.0676597619635958,-0.3296988210105836,1.0,0.025626785562106735,-0.2756155278286826,-0.13632974051782387,0.07944749903827397,-0.03231011917506084,-0.35136075506372744,-0.2610069831647121,0.17561688565543573,-0.310628864709994,0.5701283530284523,0.14201691785210652,-0.10835934435604258,-0.25483946073900193,-0.18953637419277736,-0.1559143301775115,0.13452624550273556,-0.34316418306241697,0.05062979416154846,0.19466263012940538,0.2941692101397791,-0.5331405427898954,-0.121145156338051,-0.32064384278760283,0.022429988119243897,0.36877648365185384
FDI Inflow (Millions),0.29529441548142454,-0.05227578405218215,0.23533472812872047,0.025626785562106735,0.9999999999999998,0.24740955290185943,0.024527795597256534,0.7418476421370183,0.022117282225086368,0.29933653545404343,0.04241368278329521,-0.05037370862098516,0.34602913732755436,0.12368600066509583,-0.05946300144196664,0.17167014467621072,0.318584078006751,0.2427314919660617,0.09922860515736037,0.3787453388163434,0.3136665662035826,0.10348227274939585,-0.2065289515118392,-0.2032136683024548,-0.13910417655849955,0.09416542672204406,0.20078113795668423,-0.11778266114904117,-0.2513207273511659
Financial Freedom,0.7809952920039728,-0.23747687252744368,0.5558577533218432,-0.2756155278286826,0.24740955290185943,1.0000000000000002,0.09353406676410796,0.035808750517588604,0.010634858892243654,0.5673282886461405,0.2908971815816384,-0.3048141342616498,0.6769930527582866,0.038144483540680306,-0.30864933723715277,0.783236286140819,0.6146550125069533,0.27882026840424556,0.5607828276955638,-0.11207380348509922,0.7283473523187971,0.10603769634743328,-0.5650040748268856,-0.5248907154217188,-0.16276906499715593,0.4179118876186725,0.6351436510923112,-0.060920570541089805,-0.7748254969530722
Fiscal Health,0.45944453493714515,0.06028661604572386,0.1304996819988047,-0.13632974051782387,0.024527795597256534,0.09353406676410796,1.0,-0.02848044981223068,-0.010930903483033215,0.20388582257404103,-0.14789513289356268,0.1451044181380626,0.194734518499633,-0.12644587629143614,-0.15515369572567475,0.07398628083948106,0.1624179453264802,0.10351094739319622,0.15077248854716968,-0.06487725517921861,0.19521180481905662,-0.5336683148314516,-0.34645749774438467,-0.2935884443361737,0.054945307286155626,0.08146716075656492,0.2836348754825138,-0.1402407209975687,-0.45286337867263565
"GDP (Billions, PPP)",0.08933956653115593,0.017253350802532777,0.09676257957979507,0.07944749903827397,0.7418476421370183,0.035808750517588604,-0.02848044981223068,1.0,0.043464882576998994,0.13742476130753525,0.055654441006386904,-0.04353931983313375,0.18626606989568356,0.1682494198083813,-0.01849452467384373,-0.03304251207327998,0.20917062326616295,0.09108416395610285,-0.01892544914571705,0.7877987554563668,0.16419753504232806,0.14902591728312922,-0.06131994788039268,-0.13328921601837818,-0.15065864428876577,0.058280111613007536,0.08347427963091318,-0.11958645284062443,-0.08937911351816409
GDP Growth Rate (%),0.036662372368245565,0.45584892639308905,-0.06457672670754054,-0.03231011917506084,0.022117282225086368,0.010634858892243654,-0.010930903483033215,0.043464882576998994,1.0,-0.2236220395810705,-0.1603392112018271,0.14621716171816662,0.009727071458265334,0.07664176599655229,-0.255602673624545,-0.05698785837427302,-0.001167556538685599,0.11132366122149996,0.18730421944269054,0.13565174595132243,-0.022945082621621298,-0.0072878091386634385,-0.08441507790656565,0.0017830321423057596,0.06670524053404062,-0.15049994161428557,-0.020889318293648734,0.038933599246788235,-0.015265617864369679
GDP per Capita (PPP),0.6329448269437744,-0.2612179909687071,0.5336937934358205,-0.35136075506372744,0.29933653545404343,0.5673282886461405,0.20388582257404103,0.13742476130753525,-0.2236220395810705,1.0000000000000002,0.35286926262455987,-0.3369470790854028,0.6705223470540849,-0.08892697570801246,-0.13522984581621886,0.4125020066307123,0.641180848216904,0.2754502962643229,0.28397634535934513,-0.05261729443524178,0.6915682297292632,-0.0031206603090452576,-0.4454659932898368,-0.45417521211579875,-0.10671473653920761,0.30650288906293216,0.508408374144463,-0.2186901396120484,-0.6289825707208532
