"wage","education","experience","age","ethnicity","region","gender","occupation","sector","union","married"
5.1,8,21,35,"hispanic","other","female","worker","manufacturing","no","yes"
4.95,9,42,57,"cauc","other","female","worker","manufacturing","no","yes"
6.67,12,1,19,"cauc","other","male","worker","manufacturing","no","no"
4,12,4,22,"cauc","other","male","worker","other","no","no"
7.5,12,17,35,"cauc","other","male","worker","other","no","yes"
13.07,13,9,28,"cauc","other","male","worker","other","yes","no"
4.45,10,27,43,"cauc","south","male","worker","other","no","no"
19.47,12,9,27,"cauc","other","male","worker","other","no","no"
13.28,16,11,33,"cauc","other","male","worker","manufacturing","no","yes"
8.75,12,9,27,"cauc","other","male","worker","other","no","no"
11.35,12,17,35,"cauc","other","male","worker","other","yes","yes"
11.5,12,19,37,"cauc","other","male","worker","manufacturing","yes","no"
6.5,8,27,41,"cauc","south","male","worker","other","no","yes"
6.25,9,30,45,"cauc","south","male","worker","other","yes","no"
19.98,9,29,44,"cauc","south","male","worker","other","no","yes"
7.3,12,37,55,"cauc","other","male","worker","construction","no","yes"
8,7,44,57,"cauc","south","male","worker","other","no","yes"
22.2,12,26,44,"cauc","other","male","worker","manufacturing","yes","yes"
3.65,11,16,33,"cauc","other","male","worker","other","no","no"
20.55,12,33,51,"cauc","other","male","worker","other","no","yes"
5.71,12,16,34,"cauc","other","female","worker","manufacturing","yes","yes"
7,7,42,55,"other","other","male","worker","manufacturing","yes","yes"
3.75,12,9,27,"cauc","other","male","worker","other","no","no"
4.5,11,14,31,"other","south","male","worker","other","no","yes"
9.56,12,23,41,"cauc","other","male","worker","other","no","yes"
5.75,6,45,57,"cauc","south","male","worker","manufacturing","no","yes"
9.36,12,8,26,"cauc","other","male","worker","manufacturing","no","yes"
6.5,10,30,46,"cauc","other","male","worker","other","no","yes"
3.35,12,8,26,"cauc","other","female","worker","manufacturing","no","yes"
4.75,12,8,26,"cauc","other","male","worker","other","no","yes"
8.9,14,13,33,"cauc","other","male","worker","other","no","no"
4,12,46,64,"cauc","south","female","worker","other","no","no"
4.7,8,19,33,"cauc","other","male","worker","other","no","yes"
5,17,1,24,"cauc","south","female","worker","other","no","no"
9.25,12,19,37,"cauc","other","male","worker","manufacturing","no","no"
