ST,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,249383,54507,878057,574980,2260724,0,0,0,187941,75676,0,0,64596,7569,0,65220,505248,45591,41190,576515,76,2240348,634697,44661,25107,194362,2473,163531,384241,3479,55300,0,0,1621,41758,0,23610,60491,1480,9808,0,0,0,0,824375,20021,1629571,3910,113585,217907
T09,2221506,0,6311293,2772131,32199800,2105049,3040683,0,22814360,5711915,2355316,1078543,7763067,5334275,1800829,2127597,2748643,3427486,1041216,3381694,4009371,8080905,4437407,3047837,3100045,0,1409015,3163832,0,6853418,1741673,11263576,5021648,427487,7673043,1811630,0,8403283,854257,3186306,679162,6451838,18275210,1890793,326055,3359964,10048349,1125766,4127972,624924
T10,120662,35225,61147,45541,318276,33217,41068,14238,642926,156124,45955,7089,152300,37375,14269,95867,97582,53132,14090,27943,69526,133284,70938,42200,29543,23574,24819,38262,12624,101965,37100,191013,232768,6341,91783,74859,13643,249194,11254,143034,12654,105470,680748,33049,18614,160703,240744,9053,50782,1648
T11,89,2412,623,0,0,105595,457807,0,0,0,0,0,839199,805510,252621,583,230,711254,10748,10653,4315,155461,51303,145711,344088,57297,5499,1045846,650,502297,56677,1030,11752,9372,0,1776,124,512,0,36612,7087,0,25739,0,0,85,73,0,315,0
T12,273432,51912,419888,127805,2202327,177783,253430,85786,879079,342982,92219,86077,335290,177663,121428,127819,154617,392035,93915,345816,427060,219538,329034,165968,283333,64521,37470,238334,81913,537119,103081,1010896,442301,29125,440014,139327,61540,663997,52860,134647,58064,379888,1233494,120119,54722,373781,378804,105371,150817,21817
T13,566700,42087,772849,456377,3393381,589533,432948,120090,2264350,899222,87476,228140,1446067,838295,441867,432530,533534,648621,229066,768742,671844,1061656,646453,442881,738690,207256,304217,311888,128357,519491,240599,533618,1494367,133607,1800485,388628,415249,2092822,133200,511834,125367,848348,2993570,359218,86018,933207,1030005,320734,975646,68845
T14,3207,0,529,5519,38018,3398,9119,166,28145,0,0,1035,10546,4714,2306,3006,5974,4068,3735,2013,4181,9915,1508,0,0,33,252,0,2934,0,362,28868,0,509,12868,1653,3075,25619,3486,0,313,0,11018,0,0,0,1899,3322,1246,211
T15,692174,3878,47273,0,605852,9291,172793,40829,2923980,0,120679,2285,1821583,11783,0,883,14823,13839,25328,119341,24284,23430,49,9174,0,28203,3093,11593,70377,921987,14654,767944,353066,34531,1057361,27016,9475,1156087,95949,44173,2666,6680,951412,30582,10201,138886,425238,147702,325314,3087
T16,154321,64106,298001,148879,1088703,229207,256397,88526,456794,243540,88261,53525,640333,355525,98936,122991,193242,136865,154825,280307,435336,1171889,446117,58098,111322,89299,67026,138813,149985,801439,48405,971330,171672,23490,1084143,242231,269922,1033480,125911,32056,28185,124923,545904,60300,48931,172192,474907,112027,317911,25999
T19,201804,9278,0,134142,96455,0,306211,81883,506149,95607,221697,6197,1139678,8792,0,23132,714449,31100,95562,786381,316328,750531,1243190,10124,62290,43744,7397,43946,261087,255567,145167,4443905,639294,74630,264590,26884,0,154203,121832,111459,54040,101654,3608691,40198,256662,684259,306642,353227,5103,1079
