 ST,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
POP,4558,664,5939,2779,36132,4665,3510,844,17790,9073,1275,1429,12763,6272,2966,2745,4173,4524,1322,5600,6399,10121,5133,2921,5800,936,1759,2415,1310,8718,1928,19255,8683,637,11464,3548,3641,12430,1076,4255,776,5963,22860,2470,623,7567,6288,1817,5536,509
T01,231136,42912,374024,542832,2164259,0,0,0,299856,67019,0,0,56131,8874,0,60572,475494,45401,43660,528638,70,2152022,619122,44070,23238,185349,2400,149008,392265,3484,47600,0,0,1536,37158,0,24432,57984,1588,9633,0,0,0,0,744535,18525,1590722,3638,112159,180821
T09,2033192,0,5208070,2573503,29967136,2003066,3267726,0,19056249,5310121,2136604,1128485,7195445,5001049,1721763,2005188,2594976,2861435,934848,2889997,3890945,8074095,4203736,2587970,3036441,0,1516705,2914781,0,6552200,1556600,11003520,4602082,410216,8194419,1660825,0,8064868,844087,2903274,621812,6118001,16356284,1710379,310805,3093725,9147303,1095341,4039450,522262
T10,118288,34638,59222,43307,314252,31593,44236,13777,622635,150037,43717,6813,147238,38719,14062,90244,81751,54215,12742,27352,69251,150888,69272,39993,28307,21737,24087,36332,12227,99359,34627,184610,220546,5980,89920,70999,13555,237405,11241,141827,12416,97423,626378,30177,17878,151987,199426,8646,49301,1187
T11,92,2458,610,0,0,99092,416496,0,0,0,0,0,826426,793566,241397,585,195,510069,401,10929,4607,145811,54959,223135,327385,53126,5937,934638,381,475661,46353,731,11157,9559,0,4361,17,521,0,36145,25,0,24453,0,0,79,61,0,325,0
T12,272681,52958,396544,124954,2232955,191941,238284,69369,764559,331612,87285,86913,366584,186526,131183,122027,357504,362679,81237,268912,402303,249524,310623,164466,287739,61290,38600,215598,80315,454450,95464,987438,442228,30671,440475,172433,55276,677098,53418,128821,57647,360638,1167899,119705,52463,373571,357381,113426,144873,19809
T13,559978,39565,705623,437097,3366141,588869,477108,113663,2093900,926494,86426,220102,1419883,806862,438322,422846,496340,602975,228395,752809,685524,1076188,651472,435530,742053,191912,305058,307672,132137,525027,223396,532687,1338403,121674,1671915,413840,373295,1907673,132730,484981,124974,844249,2935649,351097,85980,912934,930975,319671,957055,67864
T14,3096,0,462,4783,38491,3833,9666,169,28335,0,0,0,11654,4733,2150,3216,14325,47780,4236,2002,4677,10924,1539,0,0,90,270,0,3606,0,897,31505,0,346,14603,1840,2198,26041,3990,0,535,0,11603,0,0,0,1836,10204,1546,389
T15,630252,3969,37980,0,569116,8952,217482,38070,1840560,0,108686,1534,1726498,11543,0,812,0,7718,24962,133310,0,29239,48,8876,0,29071,3683,9271,69376,981399,13612,769410,327798,33419,155842,18072,11242,1131296,86360,49651,2583,5352,826286,26421,10721,132235,373835,155741,284113,2976
T16,152886,56162,290503,147932,1096224,130106,273392,80433,465772,248889,85244,51843,656473,343078,96077,123978,37727,105962,91906,275795,423637,1179871,173946,55897,110282,61217,71451,136637,101735,800142,48477,975949,42981,21068,579111,127750,243746,1030512,136376,29610,28371,121211,599368,61434,48360,103230,354014,102825,310143,27170
T19,192351,9047,0,126311,88812,0,183773,81783,614444,0,200651,5612,1005354,9097,0,22225,668971,33050,88621,790650,321558,617504,1175444,7521,66773,36708,7326,41866,305339,283761,151095,2845404,630350,76823,0,29439,0,151798,109832,108691,55566,100701,3302921,30332,251897,711168,277477,348233,3928,0
T20,2468,1768,4799,1765,45363,5670,6346,846,34295,1699,0,1517,11424,9920,9376,2455,5437,0,2866,1015,2871,13305,1058,2458,3992,1646,350,0,3209,9504,825,42400,14093,264,33315,4871,2694,14538,152,9572,305,1033,32001,1775,442,10416,10175,11616,530,1
T21,0,1,29,291,8116,942,53,330,4190,0,0,352,2127,4029,30598,236,325,0,703,38,439,0,852,5295,67,4933,0,99454,236,66543,312,48,0,307,0,7388,2233,45,399,2399,121,350,7316,0,96,50,14749,13,552,0
