,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,325652,99598,762651,1022066,1982208,0,0,0,1969718,360,201834,0,0,61806,7008,0,79475,558377,52686,38636,750927,4795,1879024,815756,24122,29896,262313,148,235143,400369,4620,69217,0,0,2808,0,0,19893,55537,2331,22699,0,0,0,0,943408,33188,1939883,6149,148600,331899
T09,2331676,0,6792635,2837788,33915885,2416731,3838385,0,1138462,20785507,5277211,2944487,1324182,8159003,6805069,2827371,2897033,3021794,2825752,1071886,4114296,5184312,8465895,5711442,3191683,3154531,0,1669380,3637356,0,8454788,2004258,12117579,5592560,1268695,8351551,2518598,0,9243355,881458,3199752,853570,5992162,30908596,1884170,347273,3708389,11122868,1255377,4410130,702623
T10,174395,39194,68684,50656,357000,39217,60416,18412,5945,486278,180786,48962,8588,279928,45248,13865,119462,121753,56879,17518,30867,77357,138900,73053,41787,36119,31743,28936,40903,12689,136066,46913,247303,332656,9154,98279,111001,16294,336400,12717,156759,16027,140068,987726,48228,23159,204049,364795,17690,57290,1802
T11,93,8427,531,36109,0,104290,382390,0,0,165804,0,0,0,598897,754248,270659,391,184,675249,51162,25281,2670,110668,39274,139630,379828,57295,4229,921872,454,214859,67405,1030,14703,5521,225439,20767,0,1447200,0,39172,9325,0,29386,0,0,81,0,70259,243,0
T12,297958,60236,424369,162962,2242379,211320,232492,87512,79511,657710,329237,136542,72251,359578,212272,104885,174531,139471,399551,99693,429410,403757,301883,370829,212493,274089,74667,69248,249390,83547,568484,137050,1435166,542551,47867,504075,268121,101569,790975,94915,150213,71989,686280,1717242,108872,57517,392397,436118,151136,176710,18419
T13,530244,41608,781426,455914,5492850,626619,497013,112616,22391,2332191,1000626,92516,244738,1259834,803376,440365,415352,838344,583025,237675,740556,651375,956173,888010,412966,701078,216155,297483,297387,143132,524557,231026,1634932,1893576,211700,1704594,434719,498778,2046738,94191,520501,142364,834999,3228459,373242,106840,910038,1194910,408914,968338,70986
T14,1557,0,234,3113,14088,610,6876,79,0,9150,0,0,1195,5881,2543,3996,0,4843,4660,2068,1203,1830,4599,573,0,0,11,237,0,677,0,943,22270,0,742,6246,1191,2138,13149,1184,0,534,0,7166,0,0,0,1594,2312,0,145
T15,737619,4295,21013,0,676997,11528,340920,58866,199213,3045930,0,163930,1920,1638578,238777,0,321,67197,9680,29599,123431,23738,35653,50,6191,0,47861,53887,21993,73141,959009,30650,1027932,396055,39807,1111197,41207,84131,1312254,101502,26831,3558,9461,753864,24484,17272,128780,462736,160762,368708,3555
T16,120110,69175,315428,237328,868703,197026,399885,115191,33991,1227200,211618,112104,49324,857110,461637,226300,98985,260358,161554,137952,415922,558297,958961,380304,150277,103734,87935,66049,104766,209555,753562,83034,1543018,281097,28743,828703,283902,269344,1074092,131974,27677,60969,274471,1533170,120472,74270,187943,465148,107022,632174,26505
T19,514866,26651,108714,235333,4506678,681794,878785,94526,84480,660671,408944,433679,70102,1560932,1022576,28849,36841,715597,258292,132320,1466082,551990,1325337,2467948,416267,141664,43294,8539,194696,425102,586808,131258,5188261,661707,151208,717086,168945,397012,842137,198482,356077,69926,552670,4488347,180448,356895,660989,669882,405539,474818,2352
T20,4185,1788,5164,4424,53008,6734,8803,1943,7021,8332,3512,0,1727,12289,12940,14564,3282,6281,0,5377,1266,3067,16118,1895,2927,5035,2079,1068,0,4321,3960,0,61225,15915,347,40844,1224,4421,16740,73,12394,835,1320,62458,1936,376,12284,257601,1392,1356,0
T21,0,1,0,458,15134,629,209,328,0,16000,797,0,294,17658,8301,23997,15,264,0,700,30,231,0,1427,17410,1762,4489,610,92967,233,58402,362,59,214,822,118919,152863,825,29968,169,1718,7488,314,18683,0,38,102,6045,3483,494,0
T22,136786,0,10357,27376,59998,13175,27828,812596,37887,284117,39243,1606,2077,345961,7421,43938,-4311,98774,105789,8980,92984,25624,22736,7307,149321,54666,3230,3055,65070,38128,253561,22219,60319,583877,0,1649423,44580,29474,488427,4719,74208,4504,758051,116920,490,1945,57191,30836,4858,19649,12496
T23,21470,25569,29246,23760,102073,71096,5713,2728,81,15392,23502,488,32868,38472,18493,28719,89900,26535,28488,16148,15770,5302,49326,57363,17341,31614,46590,13681,10121,10036,13150,18725,56643,16619,14087,38069,19683,50246,72852,1668,17346,28140,31380,103912,28726,7253,29503,43289,11943,66863,34764
T24,204960,58822,193816,149982,3579253,462676,209745,51237,36219,1227158,457490,175341,133204,1584922,210622,540619,205760,184760,105963,107906,450618,381189,943486,624736,151627,266955,149104,95343,162250,92324,615425,175002,1377900,581590,113651,714947,649232,512729,837215,66202,210000,66660,270469,2076465,164710,69563,452626,509854,2456,452850,80385
T25,21031,0,29620,17846,311239,30945,42607,5712,6040,203842,72798,389,11403,103140,238969,14237,21256,16050,12178,10728,34569,107398,56672,43718,37793,17039,9067,6200,21729,12603,53515,3614,145008,112726,5135,82767,15517,39447,61907,4991,9449,3739,46945,133820,15244,7410,62311,91793,105877,40610,2298
T27,14086,514,15747,9917,416056,12140,686,0,0,25096,0,20241,51453,18262,0,12033,5685,0,7066,0,0,0,30696,128,14717,19998,6,0,0,9606,6797,50,22842,15952,3,31094,5,13063,72092,0,0,0,5995,21659,0,0,0,18762,304,67340,0
T28,87908,40522,126846,121868,4202960,39378,155306,379809,32602,212184,133904,38607,69984,430765,31739,112333,55457,124506,106332,102584,208228,265590,160987,371288,96020,131276,96285,10805,230099,84265,509584,37197,226912,247556,73437,753465,115344,266125,987918,45198,98299,126781,297116,639713,47700,18144,185964,284387,11887,372894,25298
T29,4,8504,1973,1649,4027,934,2015,4924,31711,1844,36620,11902,3617,31639,77605,7697,1589,5556,4114,8495,1827,157521,184586,80280,42854,21128,10008,0,4565,925,2038,0,1459,10114,0,16092,11982,6793,18083,6696,16429,18983,8493,173673,929,1780,6591,166383,7067,4767,0
T40,3202520,0,3397707,2649577,66809000,5528485,7811949,1130501,1640899,0,8772227,1735718,1292562,16538662,4972810,3436758,2956588,3722964,2739983,1531504,7693324,12876192,8126352,9329085,1755424,5380651,1045500,2101694,0,99027,12108615,1222245,40230379,11068166,641766,9869545,2916615,6260161,10777334,1088992,3357518,0,262842,0,2852088,663027,10900860,0,1795947,7227690,0
T41,382202,630941,662026,402874,7462000,652180,568632,309644,453280,2071710,797255,123661,200340,4462627,781585,428554,384553,646875,252430,171987,952092,1888449,895183,1223309,415980,377258,170999,275563,0,553197,2282055,266466,4920605,1285907,225719,262226,585146,459744,2208163,144310,386669,37172,1256173,0,330684,105635,772001,0,242429,955752,0
T50,18,0,0,92,0,14,421065,20161,39700,290,-15352,14886,15,309376,165478,86785,-77,41326,42,79083,234552,313395,293,161278,21,175,0,0,0,0,623840,0,1014862,112364,28,105203,874,101831,812350,31156,0,0,114191,0,0,15387,-269,104258,2,304,0
T51,42155,0,18902,30190,0,0,151624,138358,366160,1948450,209,56219,0,54002,0,15151,0,3444,0,22449,145753,219465,202323,196295,0,10815,0,8725,59261,99368,343186,0,877859,50810,0,0,15006,3564,395176,18703,51744,193,161183,0,0,28310,376892,577389,8776,48016,0
T53,119424,4016966,29829,80862,37732,147732,30,0,0,47050,0,0,6224,0,2421,0,73806,269786,834116,0,0,0,70236,50226,104692,8,282356,4064,290448,0,0,843207,0,1656,2457530,12308,515981,23305,0,0,0,10816,2502,4799751,112050,0,2117,38656,608371,6201,867933
T99,0,0,0,24623,74978,0,3059,1173,47452,0,0,0,0,0,0,0,0,0,0,0,189203,197503,0,0,1182,75,3623,0,386610,0,0,0,1453608,0,0,0,0,0,25564,0,0,0,20651,0,0,4681,102557,0,0,11895,4594
