ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
POP,4481,641,5439,2708,34988,4498,3459,806,16681,8540,1235,1343,12585,6158,2935,2713,4090,4477,1298,5442,6413,10042,5025,2868,5680,910,1726,2168,1276,8577,1855,19151,8312,634,11410,3488,3523,12328,1069,4106,760,5792,21723,2320,617,7274,6067,1805,5440,499
T01,195132,49652,329245,486895,1951507,0,0,0,427626,54089,0,0,56823,6291,0,54576,437804,34794,48136,272806,2884,1890783,305573,1246,20988,181501,6383,112613,501703,3303,52779,0,0,1375,18498,0,24365,50949,1139,12746,0,0,0,0,390695,20557,1457432,3819,91703,143975
T09,1748235,0,4283681,1946770,23816406,1901972,3043971,0,14408709,4833521,1612333,795384,6591337,3798490,1747016,1799485,2312224,2326873,836134,2690434,3695874,7784308,3741390,2340474,2854718,0,1069185,2070013,0,5996839,1337321,8607718,3740715,335613,6391475,1529465,0,7330422,731597,2335170,523001,4674896,14559504,1500278,214746,2799526,7904003,962756,3695796,445479
T10,129876,12889,52641,30402,292627,30028,41619,11739,547682,144022,39090,6212,140854,37458,12508,81834,72545,51360,42891,25754,65927,138310,57495,39690,25908,18388,17534,16717,11882,81280,35471,177991,202528,5494,85837,64729,12684,197426,10271,124110,11143,80107,560197,26080,15579,132878,174170,8621,45581,1149
T11,125,2537,630,0,0,95176,365010,0,0,0,0,0,591080,521123,202485,681,260,497022,0,4794,5938,91915,55853,184157,220473,43673,6280,720732,1759,350977,32391,673,11130,14054,0,7002,3,685,0,28996,21,0,21218,0,0,54,85,0,385,0
T12,219773,37323,198770,112371,1596002,158199,207445,76178,414369,296175,70059,65989,285051,178569,135582,96894,258313,287750,60376,197306,360676,227081,163110,130241,217173,51084,38107,156412,69331,345816,51705,585444,348113,25999,365734,149018,53737,503155,32062,113139,45012,282623,972325,87838,36180,292702,291250,88586,107352,14604
T13,511927,40352,624655,413932,3295903,569079,424669,107713,1808863,649746,78088,213778,1373522,742059,343147,376241,461333,558892,191694,703390,666751,1089813,620241,410258,692454,191440,308147,266101,120006,523819,199515,492185,1209386,110848,1372423,410353,398309,1753338,130134,411074,123427,814468,2835232,336411,71187,848528,742699,300049,955404,75053
T14,3594,0,732,4386,44622,5750,7339,198,29822,0,0,0,12598,5345,3266,3812,17774,6100,4857,3122,6856,12481,1340,0,0,115,945,0,4376,0,1154,38034,0,2531,17411,3078,1915,29049,5435,0,1345,0,12739,0,0,0,2002,11973,2104,208
T15,540541,3139,29347,0,482696,8132,166580,30477,1305753,0,93405,1795,1509883,9454,0,856,0,7549,7225,140895,0,25005,52,16031,191,31251,2878,11159,63605,831854,12945,1154612,407405,32808,813796,19771,8615,732262,79844,42680,2700,5183,722187,1797,8680,86518,332438,186902,314769,2284
T16,63782,45810,161754,93073,1102807,66244,158348,27652,466464,94099,65546,28392,464447,123215,94480,52342,16828,128521,94082,209881,274997,670022,173544,55612,106818,13281,44164,63739,82625,406856,17780,1010949,41531,21573,281291,71501,175034,317442,83099,26627,18724,83573,540034,50994,26599,15125,330730,32219,302701,5067
