Year,Loc_experiment,General Outcome,"General Outcome (1,0)",Health Outcome,University Funding,Private Funding,Private & Public,Private & University,Public Funding,Public & International Org,Public & University,University & International Org,International Org,Research Institution,Not Available,Private Affiliation,Public Affiliation,University Affiliation,Herbicide Use,Herbicide Use/Year
1987-01-01,USA,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,1.0,0.0,0.0,6539662.0,206384.0
1989-01-01,CANADA,1.0,1.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,1196292.0,21910.0
1990-01-01,CANADA,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,0.0,1196292.0,32218.0
1991-01-01,USA,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,1.0,0.0,0.0,6539662.0,199580.0
1993-01-01,DENMARK,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,75390.0,2105.0
1994-01-01,CANADA,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,0.0,1196292.0,41931.0
1995-01-01,EGYPT,1.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,34031.0,1357.0
1997-01-01,ARGENTINA,1.0,1.0,0.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,3456354.0,55171.0
1997-01-01,USA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,6539662.0,213188.0
1999-01-01,USA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,6539662.0,194137.0
2000-01-01,BRAZIL,0.5,0.5,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,3981858.0,211960.5
2000-01-01,CANADA,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,,,0.0,0.0,1.0,1196292.0,54285.0
2000-01-01,EGYPT,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,38211.0,225.0
2001-01-01,USA,0.0,0.0,0.0,0.0,0.0,,,0.5,,,,,,,0.0,0.5,0.5,6539662.0,196405.0
2002-01-01,CANADA,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,1196292.0,54285.0
2002-01-01,DENMARK,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,0.0,75390.0,2012.0
2003-01-01,ARGENTINA,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,1.0,1.0,3456354.0,103503.0
2003-01-01,BRAZIL,1.0,1.0,0.0,0.5,0.0,,,1.0,,1.0,,,,,0.0,0.0,1.0,3981858.0,215725.0
2003-01-01,USA,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,,,,,,1.0,0.0,0.0,1.0,6539662.0,193230.0
2004-01-01,BRAZIL,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,1.0,1.0,3981858.0,234384.0
2004-01-01,CANADA,1.0,1.0,0.0,1.0,0.0,,,1.0,,1.0,,,,,0.0,1.0,1.0,1196292.0,58198.0
2004-01-01,CHINA,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,,,,,,,0.0,1.0,1.0,20601199.0,964658.0
2004-01-01,POLAND,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,1.0,0.0,0.0,1.0,237158.0,3740.0
2004-01-01,USA,0.25,0.25,0.25,0.0,0.5,,,0.5,,,,,,,0.5,0.0,0.75,6539662.0,192777.0
2005-01-01,ARGENTINA,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,3456354.0,125962.0
2005-01-01,BRAZIL,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,1.0,3981858.0,234384.0
2005-01-01,CANADA,1.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,0.0,0.0,1.0,1196292.0,24485.0
