,0
2003,"BRAZIL, "
2004,"BRAZIL, "
2005,"BRAZIL, "
2006,"BRAZIL, "
2007,"BRAZIL, USA, ARGENTINA, "
2008,"BRAZIL, USA, ARGENTINA, "
2009,"BRAZIL, USA, ARGENTINA, "
2010,"BRAZIL, USA, ARGENTINA, "
2011,"BRAZIL, USA, ARGENTINA, "
2012,"BRAZIL, USA, ARGENTINA, "
2013,"BRAZIL, USA, ARGENTINA, "
2014,"BRAZIL, USA, ARGENTINA, "
2015,"BRAZIL, CHINA, USA, ARGENTINA, "
2016,"BRAZIL, CHINA, POLAND, USA, ARGENTINA, "
2017,"BRAZIL, CHINA, POLAND, USA, ARGENTINA, "
2018,"BRAZIL, CHINA, POLAND, NIGERIA, USA, ITALY, ARGENTINA, SPAIN, IRAN, "
2019,"GERMANY, BRAZIL, CHINA, POLAND, CANADA, NIGERIA, USA, ITALY, ARGENTINA, TURKEY, SPAIN, IRAN, "
2020,"SWITZERLAND, BELGIUM, GERMANY, BRAZIL, CHINA, POLAND, CANADA, NIGERIA, MEXICO, TUNISIA, AUSTRALIA, INDIA, UK, SERBIA, USA, ITALY, ARGENTINA, SLOVENIA, PORTUGAL, TURKEY, JAPAN, SPAIN, IRAN, "
